2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-34-56,34.89363,-21.95431,333.4814,4
2024-03-27_11-34-57,34.19505,-21.18407,339.3163,5
2024-03-27_11-34-57,33.71108,-20.42139,346.8291,5
2024-03-27_11-34-58,33.30324,-19.51946,353.0746,5
2024-03-27_11-34-58,32.83004,-17.84904,359.9155,5
2024-03-27_11-34-59,32.64051,-16.71463,2.052658,5
2024-03-27_11-34-59,32.52992,-15.58718,4.262486,5
2024-03-27_11-35-00,32.49407,-15.09377,5.132565,5
2024-03-27_11-35-00,32.46233,-14.22636,6.726556,5
2024-03-27_11-35-01,32.45182,-13.0876,6.486339,5
2024-03-27_11-35-01,32.4448,-11.97768,10.54837,6
2024-03-27_11-35-02,32.498,-11.5823,15.60819,6
2024-03-27_11-35-02,32.64623,-10.94708,18.83599,6
2024-03-27_11-35-03,32.97444,-9.897142,21.66878,6
2024-03-27_11-35-03,33.35333,-8.973528,29.39005,6
2024-03-27_11-35-04,33.51192,-8.712997,41.13634,6
2024-03-27_11-35-04,33.77301,-8.532932,53.40699,6
2024-03-27_11-35-05,34.1485,-8.363045,60.17785,7
2024-03-27_11-35-05,35.13868,-8.062113,65.0943,7
2024-03-27_11-35-06,36.30484,-7.810358,66.76573,7
2024-03-27_11-35-06,36.90838,-7.706035,67.09858,8
2024-03-27_11-35-07,38.06304,-7.519252,67.28052,9
2024-03-27_11-35-07,38.62644,-7.471354,71.01174,8
2024-03-27_11-35-08,39.93375,-7.376563,72.79887,8
2024-03-27_11-35-08,40.55371,-7.354341,73.60043,8
2024-03-27_11-35-09,41.23763,-7.331675,72.39455,9
2024-03-27_11-35-09,41.98298,-7.293615,74.68008,10
2024-03-27_11-35-10,43.46819,-7.289674,71.29814,10
2024-03-27_11-35-10,44.76023,-7.24021,67.79565,10
2024-03-27_11-35-11,44.86415,-7.211978,54.50446,10
2024-03-27_11-35-11,45.32005,-6.862264,36.33498,10
2024-03-27_11-35-12,45.77523,-6.261903,28.87185,8
2024-03-27_11-35-13,45.83804,-6.244687,25.54708,8
2024-03-27_11-35-13,45.86202,-6.220813,30.58344,8
2024-03-27_11-35-14,45.95625,-6.233167,47.22281,8
2024-03-27_11-35-14,46.40459,-6.274584,69.50214,8
2024-03-27_11-35-15,46.94293,-6.332945,85.37521,8
2024-03-27_11-35-15,46.98796,-6.395275,109.5576,8
2024-03-27_11-35-16,47.31857,-7.199711,131.3114,10
2024-03-27_11-35-16,47.49577,-8.589184,138.979,10
2024-03-27_11-35-17,47.47783,-10.19002,143.7169,12
2024-03-27_11-35-17,47.44126,-11.2186,145.2037,10
2024-03-27_11-35-18,47.4047,-11.95041,146.2962,11
2024-03-27_11-35-18,47.34654,-12.54553,146.5974,11
2024-03-27_11-35-19,47.26621,-14.22718,145.7553,11
2024-03-27_11-35-19,47.24752,-15.3891,147.4917,11
2024-03-27_11-35-20,47.21762,-16.00148,155.2461,10
2024-03-27_11-35-20,47.2044,-16.34924,159.39,10
2024-03-27_11-35-21,47.23901,-16.73048,141.4483,12
2024-03-27_11-35-21,47.2687,-16.81896,150.1254,12
2024-03-27_11-35-22,47.24235,-17.6797,153.7986,12
2024-03-27_11-35-22,47.2163,-18.55718,159.0913,13
2024-03-27_11-35-23,47.2326,-19.50943,198.3121,13
2024-03-27_11-35-23,47.23453,-19.87102,254.3029,12
2024-03-27_11-35-24,47.24072,-19.89442,187.9951,12
2024-03-27_11-35-24,47.22263,-19.89435,255.4785,12
2024-03-27_11-35-25,47.20234,-20.0954,260.8124,12
2024-03-27_11-35-25,47.1801,-20.70702,266.057,8
2024-03-27_11-35-26,46.99587,-21.08834,278.7761,8
2024-03-27_11-35-26,46.94914,-21.12465,289.1517,8
2024-03-27_11-35-27,46.72715,-21.30884,294.2461,9
2024-03-27_11-35-27,46.26579,-21.43228,298.6194,12
2024-03-27_11-35-28,45.00732,-21.4549,300.5356,12
2024-03-27_11-35-28,44.87135,-21.43289,301.5712,12
2024-03-27_11-35-29,44.69405,-21.39515,303.3047,13
2024-03-27_11-35-29,43.34854,-21.17126,311.0057,12
2024-03-27_11-35-30,42.52846,-20.85203,325.4993,11
2024-03-27_11-35-30,42.261,-20.64531,334.8803,13
2024-03-27_11-35-31,42.15745,-19.5133,334.3538,10
2024-03-27_11-35-31,42.00398,-18.96643,332.6812,10
2024-03-27_11-35-32,40.78035,-18.05346,322.3969,9
2024-03-27_11-35-32,39.62,-17.25638,328.9774,9
2024-03-27_11-35-33,39.29787,-16.95205,335.4071,10
2024-03-27_11-35-33,39.20399,-16.83255,341.0125,10
2024-03-27_11-35-34,38.93486,-16.36797,351.0923,10
2024-03-27_11-35-34,38.81703,-16.00542,359.7159,10
2024-03-27_11-35-35,38.75116,-15.55474,359.576,17
2024-03-27_11-35-35,38.65412,-14.80215,3.682974,11
2024-03-27_11-35-36,38.60949,-14.07149,7.058202,11
2024-03-27_11-35-36,38.64029,-13.29737,15.96181,13
2024-03-27_11-35-37,38.6696,-13.20543,24.00299,13
2024-03-27_11-35-37,38.71162,-13.20336,39.27725,13
2024-03-27_11-35-38,38.82501,-13.13588,49.7087,13
2024-03-27_11-35-38,39.29968,-12.91719,60.3804,14
2024-03-27_11-35-39,40.38512,-12.69183,69.86144,15
2024-03-27_11-35-39,40.68509,-12.64329,59.74315,14
2024-03-27_11-35-40,40.90741,-12.47377,38.88823,14
