2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-25-32,-41.03534,10.89985,357.5428,13
2024-03-27_12-25-32,-41.0532,10.95933,355.1219,14
2024-03-27_12-25-33,-41.05439,10.9743,350.7416,15
2024-03-27_12-25-33,-41.03529,10.98913,349.1928,15
2024-03-27_12-25-34,-41.03099,10.98272,349.7421,15
2024-03-27_12-25-34,-41.12457,11.11169,349.4434,15
2024-03-27_12-25-35,-41.24011,11.25017,352.4973,15
2024-03-27_12-25-35,-41.2443,11.32801,352.3713,15
2024-03-27_12-25-36,-41.23073,11.45148,352.1407,13
2024-03-27_12-25-36,-41.28766,11.63412,350.0736,13
2024-03-27_12-25-37,-41.3537,11.71333,352.3587,13
2024-03-27_12-25-37,-41.41909,11.80591,356.485,13
2024-03-27_12-25-38,-41.50369,12.01682,355.7461,13
2024-03-27_12-25-38,-41.47853,12.06139,350.8468,13
2024-03-27_12-25-39,-41.45377,12.07752,347.2968,13
2024-03-27_12-25-39,-41.49266,12.13143,351.6265,15
2024-03-27_12-25-40,-41.55095,12.13576,357.1503,15
2024-03-27_12-25-40,-41.5551,12.14772,2.225374,15
2024-03-27_12-25-41,-41.57066,12.46236,2.573401,13
2024-03-27_12-25-41,-41.63883,12.94874,349.7432,10
2024-03-27_12-25-42,-41.72431,13.06056,350.5791,11
2024-03-27_12-25-42,-41.80047,13.09049,352.4638,11
2024-03-27_12-25-43,-41.80376,13.15258,351.4842,10
2024-03-27_12-25-43,-41.83965,13.36836,351.166,10
2024-03-27_12-25-44,-41.97599,13.70491,346.4738,11
2024-03-27_12-25-44,-42.09439,13.76945,341.9813,11
2024-03-27_12-25-45,-42.16466,13.82814,338.5991,11
2024-03-27_12-25-45,-42.25673,14.04084,339.9585,11
2024-03-27_12-25-46,-42.39625,14.23602,337.9513,11
2024-03-27_12-25-46,-42.53945,14.38656,352.828,11
2024-03-27_12-25-47,-42.55558,14.39346,358.1835,10
2024-03-27_12-25-47,-42.46384,14.34189,36.96125,12
2024-03-27_12-25-48,-42.41668,14.29765,81.30694,12
2024-03-27_12-25-48,-42.40358,14.26128,80.76052,12
2024-03-27_12-25-49,-42.38927,14.19393,78.4565,13
2024-03-27_12-25-49,-42.34073,14.19413,80.46666,13
2024-03-27_12-25-50,-42.25813,14.25501,80.10217,13
2024-03-27_12-25-50,-41.91519,14.17859,81.9457,14
2024-03-27_12-25-51,-41.74147,14.09989,83.28868,14
2024-03-27_12-25-51,-41.53915,14.03759,80.98669,14
2024-03-27_12-25-52,-41.50272,14.00751,82.53414,14
